epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9072,1.67024,2.77016,1.80089,0.35599,0.60372,0.46821,0.20623,1.69676,5.81845,2.15466,0.000549878,0.000549878,0.000549878
2,56.2062,1.75722,2.16526,1.85648,0.4003,0.34117,0.28508,0.13733,1.9563,4.31815,2.64418,0.00110007,0.00110007,0.00110007
3,82.7905,1.7428,2.04439,1.82765,0.17333,0.31609,0.12712,0.0345,3.22002,2.75377,3.39705,0.00164477,0.00164477,0.00164477
4,107.218,1.71659,1.93676,1.80262,0.43804,0.53356,0.46431,0.18942,2.25281,2.44164,2.33189,0.00164225,0.00164225,0.00164225
5,132.933,1.71472,1.89575,1.7823,0.58215,0.39536,0.40522,0.218,1.89221,2.04087,1.99618,0.00163399,0.00163399,0.00163399
6,156.543,1.65859,1.77109,1.68517,0.64914,0.57647,0.56288,0.28806,1.60736,1.9586,1.79059,0.00162574,0.00162574,0.00162574
7,180.307,1.60395,1.70424,1.68637,0.91234,0.67266,0.7835,0.49356,1.35108,1.37074,1.58335,0.00161749,0.00161749,0.00161749
8,206.188,1.54821,1.62281,1.64989,0.84533,0.81155,0.83502,0.51114,1.36392,1.21498,1.60468,0.00160924,0.00160924,0.00160924
9,230.701,1.53628,1.55109,1.62672,0.80645,0.81053,0.84772,0.55192,1.25894,1.11475,1.50974,0.00160099,0.00160099,0.00160099
10,257.548,1.46789,1.46522,1.53984,0.86426,0.64805,0.83027,0.5022,1.29646,1.10445,1.5068,0.00159274,0.00159274,0.00159274
11,280.908,1.43737,1.38351,1.54247,0.92127,0.83132,0.89947,0.63356,1.32337,1.00022,1.54756,0.00158448,0.00158448,0.00158448
12,305.992,1.35402,1.33998,1.48176,0.96,0.85789,0.915,0.6327,1.15043,1.05855,1.41653,0.00157623,0.00157623,0.00157623
13,330.457,1.37914,1.38765,1.49633,0.77957,0.81807,0.87706,0.62636,1.10854,1.03961,1.36272,0.00156798,0.00156798,0.00156798
14,353.992,1.33152,1.3572,1.46242,0.89806,0.84427,0.8913,0.61864,1.23642,0.97377,1.49755,0.00155973,0.00155973,0.00155973
15,377.692,1.33533,1.2763,1.45376,0.93918,0.86316,0.91143,0.63796,1.0373,0.93181,1.34838,0.00155148,0.00155148,0.00155148
